stop_id,stop_code,stop_name,stop_lat,stop_lon,routes,district_id,patterns,municipality_id
150070,,Santana - Jardim,38.462162,-9.102405,"{3201_0, 3202_0, 3203_0, 3204_0, 3205_0, 3206_0, 3207_0, 3208_0, 3209_0, 3210_0, 3211_0, 3212_0, 3213_0, 3215_0, 3217_0, 3221_0, 3536_0, 3544_0, 3545_0, 3549_0, 3549_1, 3625_0, 3635_0, 3640_0, 3642_0, 3721_0}",15,"{3201_0_2, 3202_0_2, 3203_0_2, 3204_0_2, 3205_0_2, 3206_0_2, 3207_0_2, 3208_0_2, 3209_0_2, 3210_0_2, 3211_0_2, 3212_0_2, 3213_0_3, 3215_0_1, 3217_0_1, 3221_0_2, 3536_0_2, 3544_0_1, 3545_0_2, 3549_0_2, 3549_1_2, 3625_0_2, 3635_0_2, 3640_0_1, 3642_0_1, 3721_0_2}",1511
150072,,Santana ( Avenida Sergio Quinto Melo ) Rotunda,38.46336,-9.099512,"{3206_0, 3211_0, 3215_0, 3217_0, 3221_0, 3549_0, 3549_1, 3640_0, 3642_0}",15,"{3206_0_2, 3211_0_1, 3211_0_2, 3215_0_1, 3217_0_1, 3221_0_2, 3549_0_2, 3549_1_2, 3640_0_1, 3642_0_1}",1511
150073,,Santana ( Avenida Sergio Quinto Melo ) Rotunda,38.463449,-9.09958,"{3207_0, 3211_0, 3212_0, 3215_0, 3217_0, 3221_0, 3544_0, 3549_0, 3549_1, 3625_0, 3635_0, 3640_0, 3642_0}",15,"{3207_0_1, 3211_0_1, 3211_0_2, 3212_0_1, 3215_0_2, 3217_0_2, 3221_0_1, 3544_0_2, 3549_0_1, 3549_1_1, 3625_0_1, 3635_0_1, 3640_0_2, 3642_0_2}",1511
150075,,Santana ( Avenida São Quinto Melo ) Supermercado,38.464972,-9.097694,"{3207_0, 3211_0, 3212_0, 3215_0, 3217_0, 3221_0, 3223_0, 3544_0, 3549_0, 3549_1, 3625_0, 3635_0, 3640_0, 3642_0}",15,"{3207_0_1, 3211_0_1, 3211_0_2, 3212_0_1, 3215_0_2, 3217_0_2, 3221_0_1, 3223_0_1, 3544_0_2, 3549_0_1, 3549_1_1, 3625_0_1, 3635_0_1, 3640_0_2, 3642_0_2}",1511
150076,,Santana ( Avenida São Quinto Melo ) Supermercado,38.464859,-9.097508,"{3206_0, 3207_0, 3211_0, 3212_0, 3215_0, 3217_0, 3221_0, 3223_0, 3536_0, 3544_0, 3545_0, 3549_0, 3549_1, 3625_0, 3635_0, 3640_0, 3642_0, 3721_0}",15,"{3206_0_2, 3207_0_2, 3211_0_1, 3211_0_2, 3212_0_2, 3215_0_1, 3217_0_1, 3221_0_2, 3223_0_2, 3536_0_2, 3544_0_1, 3545_0_2, 3549_0_2, 3549_1_2, 3625_0_2, 3635_0_2, 3640_0_1, 3642_0_1, 3721_0_2}",1511
150077,,Sampaio ( Cruzamento Entre ( Estrada Nacional 379 ) E Escolas ),38.467482,-9.093694,"{3207_0, 3211_0, 3215_0, 3216_0, 3217_0, 3221_0, 3549_0, 3625_0, 3635_0, 3640_0, 3642_0}",15,"{3207_0_1, 3211_0_1, 3211_0_2, 3215_0_2, 3216_0_2, 3217_0_2, 3221_0_1, 3549_0_1, 3549_0_2, 3625_0_1, 3635_0_1, 3640_0_2, 3642_0_2}",1511
150078,,Sampaio ( Cruzamento Entre ( Estrada Nacional 379 ) E Escolas ),38.467443,-9.093392,"{3207_0, 3211_0, 3215_0, 3216_0, 3217_0, 3221_0, 3549_0, 3625_0, 3635_0, 3640_0, 3642_0}",15,"{3207_0_2, 3211_0_1, 3211_0_2, 3215_0_1, 3216_0_1, 3217_0_1, 3221_0_2, 3549_0_1, 3549_0_2, 3625_0_2, 3635_0_2, 3640_0_1, 3642_0_1}",1511
150079,,Sampaio ( Cruzamento Entre ( Estrada Nacional 379 ) E Calçada Oliveiras ),38.469064,-9.089408,"{3549_0, 3625_0, 3640_0, 3641_0, 3642_0}",15,"{3549_0_1, 3625_0_2, 3640_0_1, 3641_0_2, 3642_0_1}",1511
150081,,Avenida 25 De Abril ( Parque Augusto Pólvora ),38.47147,-9.085931,"{3635_0, 3642_0}",15,"{3635_0_1, 3642_0_2}",1511
150082,,Avenida 25 De Abril ( Parque Augusto Pólvora ),38.471457,-9.08569,"{3635_0, 3642_0}",15,"{3635_0_2, 3642_0_1}",1511
