line_id,line_name,line_routes,line_pattern,color,municipality_id
3119,Pinhal Conde Cunha - Seixal (Terminal Fluvial),['3119_0'],"['3119_0_2', '3119_0_1']",#C61D23,['1510']
3120,Redondos - Seixal (Terminal Fluvial),['3120_0'],"['3120_0_2', '3120_0_1']",#C61D23,['1510']
3121,Seixal | Circular,['3121_0'],['3121_0_3'],#3D85C6,['1510']
3201,"Aldeia do Meco - Sesimbra (Terminal), via Aiana",['3201_0'],"['3201_0_2', '3201_0_1']",#C61D23,['1511']
3202,"Alfarim - Sesimbra (Terminal), via Aiana",['3202_0'],"['3202_0_2', '3202_0_1']",#C61D23,['1511']
3203,Azoia - Sesimbra (Terminal),['3203_0'],"['3203_0_2', '3203_0_1']",#C61D23,['1511']
3204,"Azoia - Sesimbra (Terminal), via Serra da Azoia",['3204_0'],"['3204_0_2', '3204_0_1']",#C61D23,['1511']
3205,Cabo Espichel - Sesimbra (Terminal),['3205_0'],"['3205_0_2', '3205_0_1']",#C61D23,['1511']
3206,Carrasqueira - Sesimbra (Terminal),['3206_0'],"['3206_0_2', '3206_0_1']",#C61D23,['1511']
3207,"Carrasqueira - Sesimbra (Terminal), via Valbom e Sampaio",['3207_0'],"['3207_0_2', '3207_0_1']",#C61D23,['1511']
3208,Aldeia do Meco - Sesimbra (Terminal),['3208_0'],"['3208_0_2', '3208_0_1']",#C61D23,['1511']
3209,Fetais - Sesimbra (Terminal),['3209_0'],"['3209_0_2', '3209_0_1']",#C61D23,['1511']
3210,Lagoa de Albufeira - Sesimbra (Terminal),['3210_0'],"['3210_0_2', '3210_0_1']",#C61D23,['1511']
3211,"Lagoa de Albufeira - Sesimbra (Terminal), via Sampaio",['3211_0'],"['3211_0_2', '3211_0_1']",#C61D23,['1511']
3212,Maçã (Rua Macieira) - Sesimbra (Terminal),['3212_0'],"['3212_0_2', '3212_0_1']",#C61D23,['1511']
3213,Pinhal de Cima - Sesimbra (Terminal) | Circular,['3213_0'],['3213_0_3'],#C61D23,['1511']
3214,Sampaio - Santana,['3214_0'],"['3214_0_2', '3214_0_1']",#C61D23,['1511']
3215,Fornos - Sampaio (via Aiana),['3215_0'],"['3215_0_2', '3215_0_1']",#C61D23,['1511']
3216,Maçã – Sampaio,['3216_0'],"['3216_0_2', '3216_0_1']",#C61D23,['1511']
3217,Azoia - Sampaio,['3217_0'],"['3217_0_2', '3217_0_1']",#C61D23,['1511']
3218,Sesimbra (Porto de Abrigo) - Sesimbra (Terminal),"['3218_1', '3218_0']","['3218_1_2', '3218_1_1', '3218_0_2', '3218_0_1']",#3D85C6,['1511']
3220,Sesimbra | Circular,['3220_0'],['3220_0_3'],#3D85C6,['1511']
3221,"Valbom - Sesimbra (Terminal), via Sampaio",['3221_0'],"['3221_0_2', '3221_0_1']",#C61D23,['1511']
3222,Quinta do Conde | Circular,['3222_0'],"['3222_0_2', '3222_0_1']",#3D85C6,['1511']
3223,Sampaio (Moagem) – Sesimbra (Terminal),['3223_0'],"['3223_0_2', '3223_0_1']",#3D85C6,['1511']
3502,Almada Forum - Paio Pires (Centro),['3502_0'],"['3502_0_2', '3502_0_1']",#C61D23,"['1503', '1510']"
3503,Almada Forum - Vale de Milhaços,['3503_0'],"['3503_0_2', '3503_0_1']",#C61D23,"['1503', '1510']"
3504,Hospital Garcia de Orta - Quintinhas,['3504_0'],"['3504_0_2', '3504_0_1']",#C61D23,"['1503', '1510']"
3505,Cacilhas (Terminal) - Paio Pires (Farinheiras),['3505_0'],"['3505_0_2', '3505_0_1']",#C61D23,"['1503', '1510']"
3506,"Cacilhas (Terminal) - Corroios (Estação), via Miratejo",['3506_0'],"['3506_0_2', '3506_0_1']",#C61D23,"['1503', '1510']"
3507,Cacilhas (Terminal) - Marisol,['3507_0'],"['3507_0_2', '3507_0_1']",#C61D23,"['1503', '1510']"
3508,Cacilhas (Terminal) - Paio Pires (Centro),"['3508_3', '3508_2', '3508_1', '3508_0']","['3508_3_2', '3508_2_2', '3508_2_1', '3508_1_1', '3508_0_2', '3508_0_1']",#C61D23,"['1503', '1510']"
3509,"Cacilhas (Terminal) - Paio Pires (Centro), via Seixal (Terminal Fluvial) e Amora","['3509_1', '3509_0']","['3509_1_2', '3509_1_1', '3509_0_2', '3509_0_1']",#C61D23,"['1503', '1510']"
3510,Cacilhas (Terminal) - Pilotos,['3510_0'],"['3510_0_2', '3510_0_1']",#C61D23,"['1503', '1510']"
3511,Cacilhas (Terminal) - Pinheirinho,"['3511_1', '3511_0']","['3511_1_1', '3511_0_2', '3511_0_1']",#C61D23,"['1503', '1510']"
3512,Cacilhas (Terminal) - Quinta Princesa,['3512_0'],"['3512_0_2', '3512_0_1']",#C61D23,"['1503', '1510']"
3513,Cacilhas (Terminal) - Santa Marta do Pinhal,"['3513_1', '3513_0']","['3513_1_2', '3513_1_1', '3513_0_2', '3513_0_1']",#C61D23,"['1503', '1510']"
3514,Cacilhas (Terminal) - Vale de Milhaços,['3514_0'],"['3514_0_2', '3514_0_1']",#C61D23,"['1503', '1510']"
3515,Corroios (Estação) - Caparica (Pilotos),['3515_0'],"['3515_0_2', '3515_0_1']",#C61D23,"['1510', '1503']"
3516,Charneca da Caparica - Corroios (Estação),['3516_0'],"['3516_0_2', '3516_0_1']",#C61D23,"['1503', '1510']"
3517,Chegadinho - Corroios (Estação),['3517_0'],"['3517_0_2', '3517_0_1']",#C61D23,"['1503', '1510']"
3518,Corroios (Estação) - Vale de Figueira,['3518_0'],"['3518_0_2', '3518_0_1']",#C61D23,"['1510', '1503']"
